CSI#,,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,NORMAL MONTHS,SWITCHING MONTHS,START DATE,HOURS,BIAS,,TICK SIZE,FOOTNOTE,FULL POINT VALUE
692,,NCI,MGE,National Corn Index,6.25 USD,5000 bu,USD / bu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20020219,08:30 - 13:45,,,0.25,,50 USD
693,,NSI,MGE,Soybean Index-National,6.25 USD,5000 bu,USD / bu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20020219,08:30 - 13:45,,,0.25,,50 USD
694,,LC2,CME,Cattle-LiveCME(Floor Trading Only),4 USD,40000 lb,0.01 USD / lb,USD,"2,4,6,8,10,12","1,5,7,11",19641130,09:05 - 13:00,,,0.025,,400 USD
695,,LH2,CME,Hogs-Lean(Floor Trading Only),4 USD,40000 lb,0.01 USD / lb,USD,"2,4,5,6,7,8,10,12",,19660228,09:05 - 13:00,,,0.025,,400 USD
696,,FC2,CME,Cattle-Feeder(Floor Trading Only),5 USD,50000 lb,0.01 USD / lb,USD,"1,3,4,5,8,9,10,11",,19711130,09:05 - 13:00,,,0.025,,500 USD
698,,XT,CME,S&P Topix 150 Index,50 JPY,5000 JPY x Index,points,JPY,"3,6,9,12",,20020318,08:00 - 15:15,,,0.5,,5000 JPY
699,,YM,CBT,DJIA Mini $5 Index,5 USD,5 USD x Index,points,USD,"3,6,9,12",,20020405,17:00 - 16:30,,,1,,5 USD
700,,SW2,CME,Swap Interest Rate  2-Yr,10 USD,500000 USD,points,USD,"3,6,9,12",,20020408,16:30 - 16:00,,,0.0025,,10000 USD
701,,SW5,CME,Swap Interest Rate  5-Yr,10 USD,200000 USD,points,USD,"3,6,9,12",,20020408,16:30 - 16:00,,,0.0025,,10000 USD
702,,SW0,CME,Swap Interest Rate 10-Yr,10 USD,100000 USD,points,USD,"3,6,9,12",,20020408,16:30 - 16:00,,,0.0025,,10000 USD
704,,SJG,SGX,Japanese Govt Bond-Full-size 10Yr (SIMEX),100000 JPY,100000000 JPY,JPY,JPY,"3,6,9,12",,20020418,07:45 - 17:15,,,0.01,,10000000 JPY
705,,F0B,EEX,Electricity Base Load,0.01 EUR x contract size in MWh,20 days-672 MWh / 21 days-696 MWh / 22 days-720 MWh / 23 days-744 MWh,EUR / MWh,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,20020510,10:00 - 15:00,,,0.01,,1 EUR x contract size in MWh
706,,F0P,EEX,Electricity Peak Load,0.01 EUR x contract size in MWh,23 days-276 MWh / 22 days-264 MWh / 21 days-252 MWh / 20 days-240 MWh,EUR / MWh,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,20020510,10:00 - 15:00,,,0.01,,1 EUR x contract size in MWh
707,,F0C,EEX,Electricity Base Load Qtr,0.01 EUR x contract size in MWh,90 days-2160 MWh / 91 days-2184 MWh / 92 days-2208 MWh,EUR / MWh,EUR,"1,4,7,10",,20020510,10:00 - 15:00,,,0.01,,1 EUR x contract size in MWh
708,,F0Q,EEX,Electricity Peak Load Qtr,0.01 EUR x contract size in MWh,64 days-768 MWh / 65 days-780 MWh / 66 days-792 MWh,EUR / MWh,EUR,"1,4,7,10",,20020510,10:00 - 15:00,,,0.01,,1 EUR x contract size in MWh
709,,F0D,EEX,Electricity Base Load Year,0.01 EUR x contract size in MWh,365 days-8760 MWh / 366 days-8784 MWh,EUR / MWh,EUR,"1",,20020510,10:00 - 15:00,,,0.01,,1 EUR x contract size in MWh
710,,F0R,EEX,Electricity Peak Load Year,0.01 EUR x contract size in MWh,260 days-3120 MWh / 261 days-3132 MWh / 262 days-3144 MWh,EUR / MWh,EUR,"1",,20020510,10:00 - 15:00,,,0.01,,1 EUR x contract size in MWh
711,,SEK,CME,Swedish Krona/U.S. Dollar,20 USD,2000000 SEK,USD,USD,"3,6,9,12",,20020516,17:00 - 16:00,,,0.00001,,2000000 USD
712,,NOK,CME,Norwegian Krone/U.S. Dollar,20 USD,2000000 NOR,USD,USD,"3,6,9,12",,20020516,17:00 - 16:00,,,0.00001,,2000000 USD
713,,ESK,CME,Euro/Swedish Krona,12.5 SEK,125000 EUR,SEK,SEK,"3,6,9,12",,20020516,17:00 - 16:00,,,0.0005,,125000 SEK
714,,ENK,CME,Euro/Norwegian Kroner,12.5 NOK,125000 EUR,NOK,NOK,"3,6,9,12",,20020516,17:00 - 16:00,,,0.0005,,125000 NOK
715,,EAD,CME,Euro/Australian Dollar,12.5 AUD,125000 EUR,AUD,AUD,"3,6,9,12",,20020516,17:00 - 16:00,,,0.0001,,125000 AUD
716,,ECD,CME,Euro/Canadian Dollar,2.5 CAD,125000 EUR,CAD,CAD,"3,6,9,12",,20020516,17:00 - 16:00,,,0.0001,,25000 CAD
717,,CJY,CME,Canadian Dollar/Japanese Yen,2000 JPY,200000 CAD,JPY,JPY,"3,6,9,12",,20020516,17:00 - 16:00,,,0.01,,200000 JPY
718,,ACD,CME,Australian Dollar/Canadian Dollar,20 CAD,200000 AUD,CAD,CAD,"3,6,9,12",,20020516,17:00 - 16:00,,,0.0001,,200000 CAD
719,,ANE,CME,Australian Dollar/New Zealand Dollar,20 NZD,200000 AUD,NZD,NZD,"3,6,9,12",,20020516,17:00 - 16:00,,,0.0001,,200000 NZD
720,,AJY,CME,Australian Dollar/Japanese Yen,2000 JPY,200000 AUD,JPY,JPY,"3,6,9,12",,20020516,17:00 - 16:00,,,0.01,,200000 JPY
721,,PSF,CME,British Pound/Swiss Franc,12.5 CHF,125000 GBP,CHF,CHF,"3,6,9,12",,20020516,17:00 - 16:00,,,0.0001,,125000 CHF
722,,PJY,CME,British Pound/Japanese Yen,1250 JPY,125000 GBP,JPY,JPY,"3,6,9,12",,20020516,17:00 - 16:00,,,0.01,,125000 JPY
723,,SJY,CME,Swiss Franc/Japanese Yen,250 JPY,250000 CHF,JPY,JPY,"3,6,9,12",,20020516,17:00 - 16:00,,,0.005,,250000 JPY
724,,QG,NYMEX,Natural Gas-Henry Hub e-miNY,2.50 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19950511,15:15 - 14:30,,,0.005,FN724,2500 USD
725,,QM,NYMEX,Crude Oil Light-e-miNY,0.50 USD,500 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20020617,15:15 - 14:30,,,0.025,,500 USD
726,,IR,CBT,Swap-Interest Rate  5 Yr (Floor+Electronic Combined),31.25 USD,100000 USD,points,USD,"3,6,9,12",,20020621,17:30 - 16:00,,,0.015625,,2000 USD
727,,IR2,CBT,Swap-Interest Rate  5 Yr (Floor Trading Only),31.25 USD,100000 USD,points,USD,"3,6,9,12",,20020621,07:20 - 14:00,,,0.015625,,2000 USD
728,,YA2,SFE,SPI 200 Index(w/SYCOM),2.5 AUD,25 AUD x Index,points,AUD,"3,6,9,12",,19830216,17:10 - 14:30,,,1,,25 AUD
729,,LST,CME,TRAKRS Long/Short Tech II Index,0.01 USD,1 USD x Index,points,USD,"1,7",,20020801,08:30 - 15:00,,,0.01,,1 USD
730,,FSW,EURONEXT,Swap Note (2 Yr) USD (LIFFE),200 USD,200000 USD,points,USD,"3,6,9,12",,20020920,07:00 - 20:00,,,0.001,,200000 USD
731,,FSO,EURONEXT,Swap Note (5 Yr)- USD (LIFFE),1000 USD,10000 USD,points,USD,"3,6,9,12",,20020920,07:00 - 20:00,,,0.01,,100000 USD
732,,FSP,EURONEXT,Swap Note (10 Yr) USD (LIFFE),10 USD,100000 USD,points,USD,"3,6,9,12",,20020920,07:00 - 20:00,,,0.01,,1000 USD
733,,FIN,CME,SPCTR-Financial Index(Floor+Electronic Combined),1.25 USD,125 USD x S&P500 Fin Sect Index,points,USD,"3,6,9,12",,20020923,15:45 - 15:15,,,0.1,,125 USD
734,,TEC,CME,SPCTR-Technology Index((Floor+Electronic Combined)CME,1.25 USD,125 USD x S&P500 Tech Sect Index,points,USD,"3,6,9,12",,20020923,15:45 - 15:15,,,0.1,,125 USD
736,,SMC,CME,E-Mini S&P 600 Smallcap Index,1 USD,100 USD x Index,points,USD,"3,6,9,12",,20021111,15:45 - 15:15,,,0.01,,100 USD
739,,EON,EURONEXT,EONIA 1 Mth (LIFFE),2.5 EUR,3000000 EUR,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,20030219,07:00 - 18:00,,,0.005,,2500 EUR
740,,US8,CME,CME Dollar Index(Floor+Electronic Combined),10 USD,1000 USD x CME $ Index,points,USD,"3,6,9,12",,20030303,16:30 - 16:00,,,0.01,,1000 USD
741,,USX,CME,CME Dollar Index(Floor Trading Only),10 USD,1000 USD x CME $ Index,points,USD,"3,6,9,12",,20030303,07:20 - 14:00,,,0.01,,1000 USD
742,,NIF,NSI,S&P CNX Nifty Index,2 INR,100 INR x Index,points,INR,"1,2,3,4,5,6,7,8,9,10,11,12",,20030520,09:55 - 15:30,,,0.05,,200 INR
743,,CET,CME,Mexican CETES T-bill (Floor Trading Only),10 MXN,400000 MXN,points,MXN,"1,2,3,4,5,6,7,8,9,10,11,12",,20030428,07:00 - 14:00,,,0.01,,1000 MXN
744,,TIE,CME,Mexican 28-day TIIE (Floor Trading Only),10 MXN,1200000 MXN,points,MXN,"1,2,3,4,5,6,7,8,9,10,11,12",,20030428,07:00 - 14:00,,,0.01,,1000 MXN
745,,RSS,CME,Index-Russell 1000,1 USD,100 USD x Index,points,USD,"3,6,9,12",,20030428,15:45 - 15:15,,,0.1,,100 USD
746,,IH,MGE,Wheat Index(Hard Winter),6.25 USD,5000 bu,0.01 USD / bu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030512,08:30 - 16:00,,,0.25,,50 USD
747,,GG,NYFE,Russell 1000 Growth Index,5 USD,500 USD x Index,points,USD,"3,6,9,12",,20030509,09:30 - 16:15,,,0.05,,500 USD
748,,VV,NYFE,Russell 1000 Value Index,5 USD,500 USD x Index,points,USD,"3,6,9,12",,20030509,09:30 - 16:15,,,0.05,,500 USD
750,,FF2,CBT,Fed Fund Rate 30 Day(Floor Trading Only),4.167 USD,5000000 USD,USD / basis point,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19881003,07:20 - 14:00,,,0.0025,,4167 USD
751,,ST2,SGX,MSCI Taiwan Index(Floor Trading Only) (SIMEX),10 USD,100 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19970109,08:45 - 13:45,,,0.1,,100 USD
753,,KK,CLEAR,Electricity-NYISO A,4 USD,400 MWh,USD / MWh,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,,,0.01,,400 USD
754,,KD,CLEAR,Electricity-NYISO G,4 USD,400 MWh,USD / MWh,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,,,0.01,,400 USD
755,,JK,CLEAR,Electricity-NYISO J,4 USD,400 MWh,USD / MWh,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,,,0.01,,400 USD
756,,CS,CLEAR,WTI Calendar Spread,10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,,,0.01,,1000 USD
757,,FN,CLEAR,Natural Gas-MICHCON Basis,0.25 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,5,,0.0001,,2500 USD
758,,PM,CLEAR,Natural Gas-Permian Basin Basis,0.25 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,5,,0.0001,,2500 USD
759,,NX,CLEAR,Natural Gas-Texas Eastern M-3 Basis,0.25 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,5,,0.0001,,2500 USD
760,,TC,CLEAR,Natural Gas-TCO Basis,0.25 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,5,,0.0001,,2500 USD
761,,BB,CLEAR,Natural Gas-PG&E Malin Basis,0.25 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,5,,0.0001,,2500 USD
762,,CP,CLEAR,Natural Gas-PG&E Citygate Basis,0.25 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,5,,0.0001,,2500 USD
763,,NA,CLEAR,Natural Gas-Alberta Basis,0.25 USD,2500 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20030828,,5,,0.0001,,2500 USD
764,,LC4,ICE,Brent Crude (IPE)(Electronic),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19880623,20:00 - 09:45,,,0.01,,1000 USD
765,,LG4,ICE,Gas Oil (IPE)(Electronic),1 USD,100 tonne,USD / tonne,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19810406,20:00 - 09:45,,,0.25,,100 USD
767,,FD,CLEAR,NY Unl. Gas/Crude Oil Crack Spread,10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20031208,,500,,0.01,,1000 USD
768,,RT,CLEAR,GC Unl Gas/Crude Oil Crack Spread,10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20031208,,500,,0.01,,1000 USD
769,,HK,CLEAR,NY Heating Oil/Crude Oil Crack Calendar Swap,10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20031208,,500,,0.01,,1000 USD
771,,IHO,ICE,Heating Oil (IPE),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20060421,01:00 - 22:00,,,0.0001,,42000 USD
772,,IRB,ICE,Gasoline-RBOB (IPE),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20060424,01:00 - 22:00,,,0.0001,,42000 USD
778,,YU,NYFE,NYSE Composite Index-Revised,0.50 USD,50 USD x Index,points,USD,"3,6,9,12",,19811231,16:45 - 16:15,,,0.5,,50 USD
782,,QCN,CME,E-mini Nasdaq Composite Index Futures (Floor+Electronic Combined),0.20 USD,20 USD x Index,points,USD,"3,6,9,12",,20031027,15:30 - 15:15,,,0.5,,20 USD
784,,DSA,DC,Soybean #1,10 CNY,10 tonne,CNY / tonne,CNY,"1,3,5,7,9,11",,20031211,09:00 - 15:00,,,1,,10 CNY
785,,DSM,DC,Soybean Meal,10 CNY,10 tonne,CNY / tonne,CNY,"1,3,5,8,9,11",,20031211,09:00 - 15:00,,,1,,10 CNY
786,,CWT,ZCE,Wheat,10 CNY,10 tonnes,CNY / tonne,CNY,"1,3,5,7,9,11",,20031211,09:00 - 15:00,,,1,,10 CNY
787,,CWS,ZCE,Wheat-SG,10 CNY,10 tonnes,CNY / tonne,CNY,"1,3,5,7,9,11",,20031211,09:00 - 15:00,,,1,,10 CNY
788,,SAF,SHFE,Aluminum,5 CNY,5 ton,CNY / ton,CNY,"1,2,3,4,5,6,7,8,9,10,11,12",,20031211,09:00 - 15:00,,,10,,5 CNY
789,,SCF,SHFE,Copper,5 CNY,5 ton,CNY / ton,CNY,"1,2,3,4,5,6,7,8,9,10,11,12",,20031211,09:00 - 15:00,,,10,,5 CNY
790,,SNR,SHFE,Rubber,5 CNY,5 ton,CNY / ton,CNY,"1,2,3,4,5,6,7,8,9,10,11,12",,20031211,09:00 - 15:00,,,5,,5 CNY
791,,JKI,KEX,Corn 75 Index,1000 JPY,10000 JPY x price,points,JPY,"1,3,5,7,9,11",,20040106,09:00 - 15:00,,,0.1,,10000 JPY
793,,JCI,KEX,Coffee Index,1000 JPY,1000 JPY x price,points,JPY,"1,3,5,7,9,11",,20040106,09:00 - 15:00,,,1,,1000 JPY
794,,JEB,KEX,Shirmp-Frozen,60 JPY,108 kg,JPY / 1.8 kg,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,20040113,09:00 - 15:00,,,1,,60 JPY
795,,HCE,HKEX,Hang Seng China Enterprises Index (HKFE),50 HKD,50 HKD x Index,points,HKD,"1,2,3,4,5,6,7,8,9,10,11,12",,20040105,09:15 - 16:15,,,1,,50 HKD
796,,EZ,FINEX,Czech Koruna/EUR,10 CZK,100000 EUR,CZK,CZK,"3,6,9,12",,20030919,19:00 - 15:00,,,0.0005,,100000 CZK
797,,VC,FINEX,U.S. Dollar/Czech Koruna,10 CZK,100000 USD,CZK / USD,CZK,"3,6,9,12",,20030919,20:00 - 18:00,,,0.0005,,100000 CZK
798,,VU,FINEX,U.S. Dollar/Hungarian Forint,100 HUF,100000 USD,HUF / USD,HUF,"3,6,9,12",,20030919,20:00 - 18:00,,,0.005,,100000 HUF
801,,ZB,GLBX,Treasury Bonds,3.125 USD,10000 USD,points,USD,"3,6,9,12",,19951020,17:30 - 16:00,,,0.015625,,1000 USD
802,,ZN,GLBX,T-Note-U.S. 10 Yr-GLOBEX (Electronic Only; Last in Settle Field),15.625 USD,100000 USD,points,USD,"3,6,9,12",,19951020,17:30 - 16:00,,,0.015625,,1000 USD
803,,ZF,GLBX,T-Note-U.S. 5 Yr-GLOBEX(Electronic Only; Last in Settle Field),3.125 USD,100000 USD,points,USD,"3,6,9,12",,19951020,17:30 - 16:00,,,0.0078125,,1000 USD
804,,ZT,GLBX,T-Note-U.S. 2 Yr (Electronic Only; Last In Settle Field)-GLOBEX,6.25 USD,200000 USD,points,USD,"3,6,9,12",,19951027,17:30 - 16:00,,,0.0078125,,2000 USD
809,,HG2,COMEX,CopperHG (Floor+Electronic Combined),2.50 USD,25000 lb,0.01 USD / lb,USD,"3,5,7,9,10,12","1,2,4,6,8,11",19660103,18:00 - 17:15,,,0.05,,250 USD
810,,PA1,ACCESS,Palladium (Electronic Only; Last in Settle),1 USD,100 toz,USD / toz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20050622,18:00 - 17:15,,,0.05,,100 USD
814,,RJN,NYMEX,Carbon RGGI Emissions,10 USD,1000 RGGI CO2 Allowance,USD / Allowance,USD,"12",,20080825,18:00 - 17:15,,,0.01,,1000 USD
815,,HMC,HKEX,Mini H-Shares Index,10 HKD,10 HKD x Index,points,HKD,"1,2,3,4,5,6,7,8,9,10,11,12",,20080905,09:45 - 16:15,,,0.01,,1000 HKD
816,,LRC,EURONEXT,Robusta Coffee New (LCE),10 USD,10 tonnes,USD / tonne,USD,"1,3,5,7,9,11",,20080904,08:00 - 17:30,,,1,,10 USD
817,,OSP,CME,3-Month Overnight Index Swaps,2.5 USD,1000000 USD,points,USD,"3,6,9,12",,20080908,17:00 - 16:00,,,0.0025,,2500 USD
818,,TF2,NYFE,Mini-Russell 2000,1 USD,100 USD x Index,points,USD,"3,6,9,12",,20070817,20:00 - 16:15,,,0.05,,100 USD
832,,RSU,EURONEXT,Sugar-Raw  (LCE),11.20 USD,50 long tons,0.01 USD / lb,USD,"3,5,7,10",,20070220,09:45 - 15:30,,,0.01,,1120 USD
833,,AIB,SFE,30-Day Interbank Deposits,2.466 AUD,3000000 AUD,Percent,AUD,"1,2,3,4,5,6,7,8,9,10,11,12",,20070503,08:34 - 16:30,,,0.005,,2466 AUD
834,,MID,ICE,Petroleum-Crude-Middle East Sour,10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20070521,01:00 - 23:00,,,0.01,,1000 USD
835,,OQ,DME,Crude Oil-Oman,10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20070601,06:00 - 05:15,,,0.01,,1000 USD
836,,WS,NYMEX,Crude Oil Financial (Penultimate),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20060612,18:00 - 17:15,,,0.01,,1000 USD
837,,HH,NYMEX,Natural Gas-Financial(Last Day),10 USD,10000 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20060612,18:00 - 17:15,,,0.001,,10000 USD
838,,HP,NYMEX,Natural Gas-Financial(Penultimate),10 USD,10000 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20060612,18:00 - 17:15,,,0.001,,10000 USD
839,,RTN,NYMEX,Gasoline RBOB Financial (Penultimate),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20060612,18:00 - 17:15,,,0.0001,,42000 USD
840,,BH,NYMEX,Heating Oil Financial(Penultimate),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20060612,18:00 - 17:15,,,0.0001,,42000 USD
841,,EED,CME,Eurodollar-E-mini,0.25 USD,100000 USD,points,USD,"3,6,9,12",,20061012,17:00 - 16:00,,,0.0025,,250 USD
844,,TO,NYFE,Russell 2000 (Floor Trading Only),5 USD,500 USD x Index,points,USD,"3,6,9,12",,20070817,16:45 - 16:15,,,0.05,,500 USD
849,,PA2,NYMEX,Palladium (Floor+Electronic Combined),1 USD,100 toz,USD / toz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19770103,18:00 - 17:15,,,0.05,,100 USD
856,,CL2,NYMEX,Crude Oil-Light (Floor+Electronic Combined),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19830330,15:15 - 14:30,,,0.01,,1000 USD
857,,HO2,NYMEX,Heating Oil #2 (Floor+Electronic Combined),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19781115,15:15 - 14:30,,,0.0001,,42000 USD
858,,HU2,NYMEX,Gasoline Unleaded (Floor+Electronic Combined),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19841203,15:15 - 14:30,,,0.0001,,42000 USD
859,,PL2,NYMEX,Platinum (Floor+Electronic Combined),5 USD,50 toz,USD / toz,USD,"1,4,7,10",,19640114,14:00 - 13:15,,,0.1,,50 USD
860,,NG1,GLBX,Natural Gas-GLOBEX(Electronic Only; Last in Settle Field),10 USD,10000 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19951019,18:00 - 17:15,,,0.001,,10000 USD
862,,GC1,GLBX,Gold (Electronic Only; Last in Settle),10 USD,100 oz,USD / oz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19951019,18:00 - 17:15,,,0.1,,100 USD
863,,SI1,GLBX,Silver (Electronic Only; Last in Settle),5 USD,5000 oz,0.01 USD / oz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19951020,18:00 - 17:15,,,0.5,,50 USD
864,,HG1,GLBX,Copper (Electronic Only; Last in Settle),2.50 USD,25000 lb,USD / lb,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19951020,18:00 - 17:15,,,0.05,,250 USD
866,,RB1,NYMEX,Gas-RBOB (Electronic Trading Only),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20051003,18:00 - 17:15,,,0.0001,,42000 USD
867,,GC2,COMEX,Gold (Floor+Electronic Combined),10 USD,100 toz,USD / toz,USD,"2,4,6,8,10,12","1,3,5,7,9,11",19750102,18:00 - 17:15,,,0.1,,100 USD
868,,SI2,COMEX,Silver (Floor+Electronic Combined),5 USD,5000 toz,0.01 USD / toz,USD,"3,5,7,9,12",,19630612,18:00 - 17:15,,,0.1,,50 USD
869,,NG2,NYMEX,Natural Gas-Henry Hub (Floor+Electronic Combined),10 USD,10000 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19900403,15:15 - 14:30,,,0.001,,10000 USD
871,,IRC,ICE,Coffee-Robusta  (IPE),3.75 USD,37500 lb,0.01 USD / lb,USD,"3,5,7,9,12",,20071009,01:30 - 15:15,,,0.05,,375 USD
876,,CU1,GLBX,Euro (Electronic Only),12.50 USD,125000 EUR,USD / EUR,USD,"3,6,9,12",,19951020,17:00 - 16:00,,,0.0001,,125000 USD
877,,JY1,GLBX,Japanese Yen (Electronic only),12.50 USD,12500000 JPY,USD / 100 JPY,USD,"3,6,9,12",,19951020,17:00 - 16:00,,,0.0001,,125000 USD
878,,SF1,GLBX,Swiss Franc (Electronic Only),12.50 USD,125000 CHF,USD / CHF,USD,"3,6,9,12",,19951020,17:00 - 16:00,,,0.0001,,125000 USD
879,,BP1,GLBX,British Pound (Electronic Only),6.25 USD,62500 GBP,USD / GBP,USD,"3,6,9,12",,19951020,17:00 - 16:00,,,0.0001,,62500 USD
880,,CD1,GLBX,Canadian Dollar (Electronic Only),10 USD,100000 CAD,USD / CAD,USD,"3,6,9,12",,19951020,17:00 - 16:00,,,0.0001,,100000 USD
881,,ED1,GLBX,Eurodollar (Electronic Only),2.50 USD,1000000 USD,USD / basis point,USD,"3,6,9,12","1,2,4,5,7,8,10,11",19951020,17:00 - 16:00,,,0.0025,,2500 USD
884,,AD1,GLBX,Australian Dollar-GLOBEX(Electronic Only; Last In Settle Field),10 USD,100000 AUD,USD,USD,"3,6,9,12",,19951020,17:00 - 16:00,,,0.0001,,100000 USD
893,,ZS,PROJA,Soybeans-CBT(Electronic Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"1,3,5,7,8,9,11",,19960304,18:30 - 06:00,,,0.25,,50 USD
894,,ZM,PROJA,Soybean Meal-CBT(Electronic Only),10 USD,100 short tons,USD / short ton,USD,"1,3,5,7,8,9,10,12",,19960304,18:30 - 06:00,,,0.1,,100 USD
895,,ZL,PROJA,Soybean Oil-CBT(Electronic Only),6 USD,60000 lb,0.01 USD / lb,USD,"1,3,5,7,8,9,10,12",,19960304,18:30 - 06:00,,,0.01,,600 USD
896,,ZC,PROJA,Corn-CBT(Electronic Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12","1,11",19960304,18:30 - 06:00,,,0.25,,50 USD
897,,ZW,PROJA,Wheat-CBT(Electronic Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19960304,18:30 - 06:00,,,0.25,,50 USD
898,,ZO,PROJA,Oats-CBT(Electronic Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19960312,18:30 - 06:00,,,0.25,,50 USD
899,,RR1,PROJA,Rice(Rough)-CBT(Electronic Only),2 USD,2000 cwt,USD / cwt,USD,"1,3,5,7,9,11",,19960321,18:30 - 06:00,,,0.005,,2000 USD
900,,TNS,EUS,T-Note-U.S.  2 Yr,6.25 USD,200000 USD,points,USD,"3,6,9,12",,20040209,19:00 - 16:00,,,0.0078125,,2000 USD
901,,TNM,EUS,T-Note-U.S.  5Yr,15.625 USD,100000 USD,points,USD,"3,6,9,12",,20040209,19:00 - 16:00,,,0.015625,,1000 USD
902,,TNL,EUS,T-Note-U.S. 10 Yr,15.625 USD,100000 USD,points,USD,"3,6,9,12",,20040209,19:00 - 16:00,,,0.015625,,1000 USD
903,,TBX,EUS,T-Note-U.S. 30 Yr,15.625 USD,100000 USD,points,USD,"3,6,9,12",,20040209,19:00 - 16:00,,,0.015625,,1000 USD
904,,CPI,CME,Consumer Price Index(Floor+Electronic Combined),2.50 USD,2500 USD x Index,points,USD,"3,6,9,12",,20040209,17:00 - 16:00,,,0.005,,2500 USD
906,,MF,FINEX,U.S. Dollar/Swiss Franc-Small,1 CHF,100000 CHF,CHF,CHF,"3,6,9,12",,20040213,19:00 - 15:00,,,0.00005,,100000 CHF
907,,MM,FINEX,British Pound/U.S.$-Small,6.25 USD,62500 GBP,USD,USD,"3,6,9,12",,20040213,19:00 - 15:00,,,0.0001,,62500 USD
